0,68,location,20
1,78,location,30
2,79,location,31
3,81,location,33
4,113,location,65
5,140,location,92
6,141,location,93
7,142,location,94
8,143,location,95
9,144,location,96
10,145,location,97
11,146,location,98
12,93,location,45
13,98,location,50
14,102,location,54
15,103,location,55
16,133,location,85
17,134,location,86
18,135,location,87
19,136,location,88
20,52,location,4
21,129,location,81
22,130,location,82
23,131,location,83
24,51,location,3
25,57,location,9
26,64,location,16
27,65,location,17
28,66,location,18
29,67,location,19
30,71,location,23
31,72,location,24
32,59,location,11
33,60,location,12
34,73,location,25
35,74,location,26
36,75,location,27
37,76,location,28
38,77,location,29
39,58,location,10
40,61,location,13
41,62,location,14
42,63,location,15
43,149,location,101
44,150,location,102
45,151,location,103
46,152,location,104
47,54,location,6
48,94,location,46
49,99,location,51
50,95,location,47
51,96,location,48
52,97,location,49
53,49,location,1
54,148,location,100
55,80,location,32
56,271,misc,16
57,273,misc,18
58,272,misc,17
59,274,misc,19
60,269,misc,14
61,264,misc,9
62,258,misc,3
63,259,misc,4
64,267,misc,12
65,257,misc,2
66,260,misc,5
67,261,misc,6
68,256,misc,1
69,279,misc,24
70,278,misc,23
71,280,misc,25
72,265,misc,10
73,263,misc,8
74,277,misc,22
75,266,misc,11
76,262,misc,7
