0,50,location,2
1,51,location,3
2,115,location,67
3,81,location,33
4,82,location,34
5,83,location,35
6,84,location,36
7,85,location,37
8,86,location,38
9,87,location,39
10,88,location,40
11,89,location,41
12,90,location,42
13,91,location,43
14,92,location,44
15,102,location,54
16,103,location,55
17,59,location,11
18,60,location,12
19,73,location,25
20,74,location,26
21,75,location,27
22,76,location,28
23,77,location,29
24,53,location,5
25,54,location,6
26,56,location,8
27,122,location,74
28,124,location,76
29,125,location,77
30,126,location,78
31,55,location,7
32,58,location,10
33,117,location,69
34,118,location,70
35,119,location,71
36,120,location,72
37,121,location,73
38,104,location,56
39,105,location,57
40,68,location,20
41,149,location,101
42,150,location,102
43,151,location,103
44,152,location,104
45,52,location,4
46,129,location,81
47,130,location,82
48,131,location,83
49,64,location,16
50,65,location,17
51,66,location,18
52,67,location,19
53,95,location,47
54,96,location,48
55,97,location,49
56,100,location,52
57,78,location,30
58,79,location,31
59,80,location,32
60,71,location,23
61,72,location,24
62,123,location,75
63,209,org,1
64,249,org,41
65,210,org,2
66,247,org,39
67,212,org,4
68,225,org,17
69,252,org,44
70,229,org,21
71,251,org,43
72,250,org,42
73,220,org,12
74,219,org,11
75,221,org,13
76,241,org,33
77,237,org,29
78,242,org,34
79,240,org,32
80,238,org,30
81,226,org,18
82,230,org,22
83,231,org,23
84,235,org,27
85,236,org,28
86,245,org,37
87,246,org,38
88,243,org,35
89,244,org,36
90,213,org,5
91,214,org,6
92,215,org,7
93,254,org,46
94,255,org,47
95,248,org,40
96,211,org,3
97,227,org,19
98,228,org,20
99,234,org,26
100,233,org,25
101,222,org,14
102,232,org,24
103,224,org,16
104,223,org,15
105,217,org,9
106,218,org,10
107,239,org,31
