0,261,6,misc,Spanish,1
1,260,5,misc,Mexicans,1
2,271,16,misc,CIA,1
3,272,17,misc,French,1
4,274,19,misc,British,1
5,273,18,misc,Egyptian,1
6,267,12,misc,1070173749003,3
7,275,20,misc,Pakistani,1
8,276,21,misc,Indian,1
9,278,23,misc,Moslem,1
10,280,25,misc,Triacetone Triperoxide,1
11,279,24,misc,Pentaerythritol,1
12,258,3,misc,Dutch,4
13,264,9,misc,Saudi,2
14,265,10,misc,Canadian,1
15,268,13,misc,cesium 137,1
16,256,1,misc,Arabic,3
17,257,2,misc,Middle Eastern,2
18,259,4,misc,C-4,3
19,262,7,misc,Social Security,1
20,263,8,misc,Lebanese,1
21,266,11,misc,Holland Queen,2
22,269,14,misc,Stinger,1
23,270,15,misc,Latin American,1
24,277,22,misc,Yemeni,1
